№,Номер лицензии  ,Название объекта,Недропользователь,"Месторасположение объекта, область, район", № и срок действия ЛС,Вид полезного ископаемого,Целевое назначение работ,"Размер площади, га",Номенклатура топографической карты 1:100000 масштаба,"Основание выдачи лицензии, № протокола, дата составления","Адрес, телефон, факс недропользователя, ФИО руководителя ",Сведения об учредителях,"Дата оплаты бонуса, номер платежного документа","Размер бонуса, тыс. сом",Сведения о наличии рекультивационного счета ,Сведения об оплате за лицензию,ИНН,координаты Х,координаты У,Страны,Статус ,        Руководитель                                                   ,Телефон ,Айыльный аймак ,примечание,Информация о бенефициарах (зеленый есть;синий ОсОО; красный нету),,,,,,
36,С-175-04            20.08.04  06.09.11,Уч. Ак-Моло-2 Каратутского м-я,"ОсОО ""Зампорос-ата""",   Жалалабатская обл.                      Аксыйский р-н,№ 2 до       06.09.11 г,уголь,Р,,,Протокол № 327-Н-06     от 06.09.06,"715430, г.Ташкомур,                          ул. Спортивная, 6. Музуралиев Бейшеналы Мурзабекович",Мусуралиев Б.Ш.,,,,,,,,,Аннулирована. Протокол №176-АН-11 от 28.04.11г.,,,,,,,,,,,
37,С-176-02 16.12.02  16.12.23,"Уч. Центральный, м-е Каракече","ОсОО                           ""Беш-Сары-К""",,,Уголь,Р,,,,,,,,,,,,,,Аннулирована.,,,,,,,,,,,
38, С 179-04 от 27.08.04г. от 15.05.18 до  25.04.28 г. Бланк №001582,"Целики пласта ""М"" Кокянгакского месторождения в районе штолен горизонтов +1250м; +1330м; +1600м","ОсОО ""Кыргызско-Китайское совместное предприятие Шахта-Тулек"""," Джалал-Абадская область, Сузакский район",№ 8 от 01.07.19 г. до 25.04.28 г.,уголь,ЕР,59 га,К-43-111,Протокол №24-Н-19 от 11.06.19 г.    ,"КР г. Бишкек, ул. Уметалиева 16, кв. 48","гр. КР Айтахунов З.А. - 10%, гр. КНР Ли Ханьчжун - 80%, Гун Сяодун - 10%",03.05.2019г.  №201100010,145427-00 сом,ОАО Элдик Банк  1290293130417733 пополнение на 39 628-00 сом от 03.07.2025 г.  Остаток на 09.07.2025 г. Состовляет 392 693 -00 сом,ЦК МФКР  1290525030000580 кв. № 54600272 от 13.06.19 г.,ИНН 02611200210122,4536614  4536368  4536350  4536755  4537600  4537785  4537540,13349578  13349322  13349183  13348980  13348810  13348955  13349231,Кыргызстан/Китай,СЕ,Ли Ханьчжун,Тел. 0550-88-89-27,Барпинский а/а,,,,,,,,
39,С 221-04 пер. 24.11.2004 г. от  12.10.2021г.  до 05.07.2032 г. бланк №000210,"Каменноугольное месторождение Кок-Янгак, участок ""Акчангыл- 1""","ОсОО ""Оомат-Чангет"" ","Ошская область, узгенский район",№ 6 от 12.10.2021 г. до 05.07.2032 г.,Каменный уголь,ЕР,"25,81 га",К-43-111,Протокол № 29-Н-2021 от 15.09.2021г.,"Ошская область, Узгенский район, с. Чангет.",гр. КР Омуржанова Каныкей Эркинбаевна - 100%,Кв. № 99900075 от 21.08.2019г.   ,2088-00 сом,ОАО Элдик Банк кв.№450300009 от01.10.2025г    8000 сом,Айыл Банк 1352029917240353  кв. №19.10.2021г.,ИНН 01710200610119,4537488  4537488  4537175  4536920  4536980 ,13351945  13352467  13352335  13352050  13351750 ,Кыргызстан,СЕ,Омуржанова К. Э.,Тел.              0773-42-00-04,Чангет а/а,,,,,,,,
40,НМ-240-04  17.12.04  17.12.07,"Территория Алгинского сельуправы(сбор известняков, камней)","ОсОО ""Шуранская ГДК""",,,,Е,,,,,,,,,,,,,,Аннулирована. Протокол №65-АН-08      20.11.08г.,,,,,,,,,,,
41,МЕ-3   12.01.05г.-   12.01.07г.,"Месторождение Сары-Булак, Иссык-Кульская обл. Джетыогузский р-н","ОсОО ""Эл-Эр-Инвест""",,,олово,Е,,,Протокол переговоров №004-Н-05 от 12.01.05г.,"г. Бишкек, ул. Алмаатинская 7      ген. Директор Ху Лин",,,,,,,,,,Аннулирована.,,,,,,,,,,,
42,ВЕ-4   13.01.05г.-13.01.07г.,"Родник ""Кол-Суу"", Нарынская обл., Атбашинский р-н","ОсОО ""Сапат""",,,мин. вода,Е,,,Протокол переговоров №006-Н-05 от 13.01.05г.,переизданно,,,,,,,,,,Аннулирована.,,,,,,,,,,,
43,ВЕ-5  14.01.05г.-14.01.07г.,"Родник ""Аламедин"", Чуйская обл., Аламединский р-н",Ч.П. Давлетов Б.М.,,,мин. вода,Е,,,Протокол переговоров №007-Н-05 от 14.01.05г.                           ,"г. Бишкек, ул.Кольбаева 19/12, тел.54.18.72",,,,,,,,,,Аннулирована.,,,,,,,,,,,
44,СЕ-8   25.01.05г.-  25.01.07г.,"Участок ""Кара-Тут-Юг"" Каратутского каменноугольного м-я","ОсОО ""Шерхан",,,уголь,Е,,,Протокол переговоров  №011-Н-05 от 25.01.05г.,"г. Таш-Кумыр, ул. Железнодорожная 7, участок Пайыз-Булак,                            тел. 2-16-33, 9-11-34",,,,,,,,,,Аннулирована. Протокол №27-АН-06 от 20.09.06г.,,,,,,,,,,,
45,АП-9   26.01.05г.- 26.01.07г.,"Карагайская площадь, Ошская область","ОсОО ПК ""Спектр""",,,золото,П,,,Протокол переговоров  №013-Н-05 от 26.01.05г.,"Чуйская обл,, Ысыкатинский р-н, с.Новопокровка, ул.Строительная 2.  Директор Исаев В.М.",,,,,,,,,,Аннулирована.,,,,,,,,,,,
46,МП-10   26.01.05г.- 26.01.07г.,"Месторождение Балачичкан, Таласская обл,.             Таласский р-н","ОсОО ""Коба Эсен""",,,  ,П,,,Протокол переговоров   №014-Н-05 от 26.01.05г.,"г. Бишкек, ул. Ибраимова 264.    Директор Джаманкулов М.Б.",,,,,,,,,,Аннулирована.,,,,,,,,,,,
47,СЕ-11   26.01.05г.- 31.12.09г.,"участок ""Крутой"", Ташкумырского каменноугольного м-я","ОсОО ""Маши""",,,уголь,Е,,,Протокол переговоров   №015-Н-05 от 26.01.05г.,"г. Кочкората, ул. Калинина, 1б   ",,,,,,,,,,Аннулирована. Протокол №74-АН-08       16.12.08г.,,,,,,,,,,,
48,МП-12   26.01.05г- 31.12.08г.,"Участок Чечекты м-я Сандык, Нарынская обл.,    Жумгальский р-н","ОАО Корпорация Азамат Ойл""",,,алюминий,П,,,Протокол переговоров    №016-Н-05 от 26.01.05г.,"г. Бишкек, ул. Тыныстанова, 2а  Президент Турдумамбетов А.Ж.",,,,,,,,,,Аннулирована.,,,,,,,,,,,
49,ВЕ-16   04.02.05г.- 04.02.07г.,"Барбулакское м-е термоминеральная вода, скв.№1141","КХ ""Адис""",,,мин. вода,Е,,,Протокол переговоров   №023-Н-05 от 04.02.05г.,"722462, Тонский р-н, с. Барбулак",,,,,,,,,,Аннулирована.,,,,,,,,,,,
50,АП-18   09.02.05г.- 09.02.07г.,"Оробашинская площадь, Еарынская обл.,         Нарынский р-н",Ч.П. Тойбаев Н.,,,золото и другие металлы,П,,,Протокол переговоров   №027-Н-05 от 09.02.05г.,"г. Бишкек, 7 мкр.,дом 38, кв.9",,,,,,,,,,Аннулирована.,,,,,,,,,,,
51,АП-19   10.02.05г.- 10.02.07г.,"Туркестанская площадь, Баткенская обл.,      Лейлекский р-н","    ОсОО ""Бурман проект""",,,золото и другие металлы,П,,,Протокол переговоров   №028-Н-05 от 10 02.05г.,"г. Бишкек, ул. Строительная 152,   Ген. директор Сатаров М.Ф.",,,,,,,,,,Аннулирована.,,,,,,,,,,,
52,АП-20   14.02.05г.- 14.02.07г.,"Кыштутская площадь,     Баткенская обл.,       Баткенский р-н","ОсОО ""Диамонд Стиль""",,,золото и другие металлы,П,,,Протокол переговоров   №030-Н-05 от 14.02.05г.,,,,,,,,,,,Аннулирована.,,,,,,,,,,,
53,АП 23 от 14.02.05 г. до 31.12.20 г. Бланк №002196,Кенташская площадь,"ОсОО ""Талас Коппер Голд""","Таласская обл., Таласский р-н",№ 8 от 24.04.19 г. до 31.12.20 г.,золото и медь,П,4600 га,К-43-50,Протокол переговоров №34-Н-15 от 27.01.16 г.,"г. Бишкек, ул. Токтогула 106, 1 этаж","Международная бизнес компания ""Ками Ассошиэйтс Лимитед"" - 100%",,,,Ок РОК 1299235030000111 кв 997000019 от 22.02.16 г.,ИНН 01002200510104,13322000  13330000  13330000  13322000,4716000  4713000  4709000  4709000,Британские Виргинские Острова (Великобритания),Аннулирована.протокол №02-Н-20 от 07.02.20г.,,,,,,,,,,,
54,АР 24 от 24.11.10 г. до 31.12.21 г. Бланк №002195,Месторождение Талдыбулак,"ОсОО ""Талас Коппер Голд""","Таласская обл., Таласский р-н",№ 7 от 24.04.19 г. до 31.12.21 г.,золото и медь,Р,4200 га,К-43-50,Протокол переговоров №34-Н-15 от 27.01.16 г.,"г. Бишкек, ул. Токтогула 106, 1 этаж","Международная бизнес компания ""Ками Ассошиэйтс Лимитед"" - 100%",,,,Ок РОК 1299235030000111 кв 997000019 от 22.02.16 г.          ,ИНН 01002200510104,13315000  13320000  13320000  13322000  13322000  13315000,4719000  4719000  4716000  4716000  4712000  4712000,Британские Виргинские Острова (Великобритания),Аннулирована.протокол №02-Н-20 от 07.02.20г.,,,,,,,,,,,
55,ВЕ-27   22.02.05г.- 22.02.07г.,"Жалалабатское ТМВ,                скв.№27-РЭ",ЧП Жумалиев Самарбек ,,,минераль-ная вода ,Е,,,Протокол переговоров    №035-Н-05 от 22.02.05г.,"г. Жалалабат, ул. Боконбаева, 5, тел.5-09-53",,,,,,,,,,Аннулирована.,,,,,,,,,,,
56,ВЕ-28   22.02.05г.  22.02.07г.,"Иссык-Атинское ТМВ,              скв. № 6-К",ЧП Осмонова,,,минераль-ная вода ,Е,,,Протокол переговоров    №036-Н-05 от 22.02.05г.,,,,,,,,,,,Аннулирована.,,,,,,,,,,,
57,МП-29   24.02.05г.-  31.12.08г..,"Нарынская площадь Жалалабатская обл., Аксыйский и Нокенский р-ны","ОсОО ""Зона Ноблюс""",,,уран,П,,,Протокол переговоров    №037-Н-05 от 24.02.05г.,"г. Бишкек,  пр. Эрикндик, 2",,,,,,,,,,Аннулирована. Протокол №82-АН-09        28.01.09г.,,,,,,,,,,,
58,МП-30   24.02.05г.-  31.12.08г.,Сумсарская площадь                 Ала-Букинскмй р-н,"ОсОО ""Зона Ноблюс""",,,уран ,П,,,Протокол переговоров      №037-Н-05 от 24.02.05г.,"г. Бишкек,  пр. Эрикндик, 2",,,,,,,,,,Аннулирована. Протокол №82-АН-09        28.01.09г.,,,,,,,,,,,
59,МП-31   24.02.05г.- 31.12.08г.,Согульская площадь         Ляйлякский  р-н,"ОсОО ""Зона Ноблюс""",,,уран,П,,,Протокол переговоров      №037-Н-05 от 24.02.05г.,"г. Бишкек,  пр. Эрикндик, 2",,,,,,,,,,Аннулирована. Протокол №82-АН-09        28.01.09г.,,,,,,,,,,,
